iter	Passed	Remaining
680	5894	2761
681	5902	2751
682	5911	2743
683	5919	2734
684	5928	2726
685	5936	2717
686	5944	2708
687	5951	2698
688	5958	2689
689	5965	2680
690	5974	2671
691	5981	2662
692	5988	2652
693	5995	2643
694	6003	2634
695	6009	2625
696	6016	2615
697	6024	2606
698	6032	2597
699	6039	2588
700	6047	2579
701	6053	2569
702	6062	2561
703	6069	2551
704	6076	2542
705	6085	2534
706	6093	2525
707	6103	2517
708	6111	2508
709	6118	2499
710	6125	2490
711	6132	2480
712	6139	2471
713	6146	2462
714	6155	2453
715	6160	2443
716	6168	2434
717	6175	2425
718	6180	2415
719	6187	2406
720	6194	2397
721	6202	2388
722	6207	2378
723	6215	2369
724	6223	2360
725	6236	2353
726	6246	2345
727	6255	2337
728	6264	2328
729	6271	2319
730	6278	2310
731	6285	2301
732	6293	2292
733	6300	2283
734	6307	2274
735	6317	2265
736	6326	2257
737	6337	2250
738	6347	2241
739	6358	2233
740	6369	2226
741	6378	2217
742	6394	2211
743	6402	2203
744	6412	2194
745	6423	2186
746	6430	2178
747	6440	2169
748	6448	2160
749	6456	2152
750	6463	2143
751	6472	2134
752	6478	2124
753	6487	2116
754	6494	2107
755	6502	2098
756	6510	2089
757	6516	2080
758	6523	2071
759	6532	2062
760	6541	2054
761	6550	2046
762	6560	2037
763	6568	2029
764	6575	2019
765	6586	2012
766	6596	2003
767	6606	1995
768	6615	1987
769	6625	1979
770	6633	1970
771	6643	1961
772	6652	1953
773	6660	1944
774	6667	1935
775	6675	1927
776	6684	1918
777	6692	1909
778	6700	1900
779	6707	1891
780	6716	1883
781	6724	1874
782	6731	1865
783	6740	1857
784	6747	1848
785	6756	1839
786	6763	1830
787	6777	1823
788	6785	1814
789	6792	1805
790	6806	1798
791	6815	1789
792	6824	1781
793	6833	1772
794	6840	1763
795	6849	1755
796	6859	1747
797	6866	1738
798	6874	1729
799	6884	1721
800	6892	1712
801	6901	1703
802	6910	1695
803	6917	1686
804	6926	1677
805	6934	1669
806	6943	1660
807	6949	1651
808	6957	1642
809	6967	1634
810	6975	1625
811	6985	1617
812	6993	1608
813	7002	1600
814	7011	1591
815	7019	1582
816	7025	1573
817	7038	1566
818	7045	1557
819	7052	1548
820	7060	1539
821	7068	1530
822	7074	1521
823	7082	1512
824	7090	1504
825	7098	1495
826	7110	1487
827	7121	1479
828	7132	1471
829	7139	1462
830	7147	1453
831	7155	1444
832	7164	1436
833	7173	1427
834	7182	1419
835	7190	1410
836	7198	1401
837	7206	1393
838	7214	1384
839	7221	1375
840	7229	1366
841	7236	1357
842	7245	1349
843	7253	1340
844	7260	1331
845	7272	1323
846	7281	1315
847	7291	1306
848	7300	1298
849	7307	1289
850	7314	1280
851	7323	1272
852	7332	1263
853	7338	1254
854	7346	1245
855	7353	1237
856	7362	1228
857	7371	1219
858	7379	1211
859	7386	1202
860	7394	1193
861	7402	1185
862	7412	1176
863	7420	1168
864	7427	1159
865	7434	1150
866	7442	1141
867	7450	1133
868	7459	1124
869	7467	1115
870	7476	1107
871	7485	1098
872	7491	1089
873	7498	1081
874	7505	1072
875	7513	1063
876	7520	1054
877	7526	1045
878	7531	1036
879	7539	1028
880	7549	1019
881	7557	1011
882	7565	1002
883	7575	994
884	7582	985
885	7589	976
886	7600	968
887	7610	959
888	7621	951
889	7628	942
890	7636	934
891	7644	925
892	7653	917
893	7662	908
894	7675	900
895	7687	892
896	7695	883
897	7703	874
898	7713	866
899	7721	857
900	7727	849
901	7735	840
902	7744	831
903	7753	823
904	7761	814
905	7768	805
906	7776	797
907	7786	788
908	7795	780
909	7802	771
910	7809	762
911	7820	754
912	7830	746
913	7839	737
914	7846	728
915	7854	720
916	7864	711
917	7872	703
918	7881	694
919	7891	686
920	7899	677
921	7908	669
922	7916	660
923	7927	652
924	7936	643
925	7944	634
926	7950	626
927	7958	617
928	7968	608
929	7975	600
930	7984	591
931	7991	583
932	8000	574
933	8009	565
934	8016	557
935	8024	548
936	8031	540
937	8039	531
938	8047	522
939	8053	514
940	8062	505
941	8071	496
942	8078	488
943	8087	479
944	8094	471
945	8104	462
946	8111	453
947	8120	445
948	8129	436
949	8140	428
950	8146	419
951	8155	411
952	8161	402
953	8166	393
954	8176	385
955	8184	376
956	8191	368
957	8198	359
958	8207	350
959	8213	342
960	8222	333
961	8228	325
962	8236	316
963	8242	307
964	8249	299
965	8256	290
966	8263	281
967	8270	273
968	8277	264
969	8285	256
970	8291	247
971	8300	239
972	8308	230
973	8317	222
974	8324	213
975	8335	204
976	8344	196
977	8366	188
978	8377	179
979	8390	171
980	8405	162
981	8420	154
982	8433	145
983	8443	137
984	8451	128
985	8463	120
986	8472	111
987	8485	103
988	8495	94
989	8502	85
990	8511	77
991	8520	68
992	8527	60
993	8533	51
994	8541	42
995	8548	34
996	8554	25
997	8561	17
998	8566	8
999	8574	0
