iter	RMSE
423	0.1495208256
424	0.1495077441
425	0.1494971975
426	0.1494862633
427	0.1494689499
428	0.1494520802
429	0.1494519876
430	0.1494367752
431	0.1494366911
432	0.149416979
433	0.1494168594
434	0.1494166602
435	0.149405217
436	0.149390107
437	0.1493784151
438	0.1493760289
439	0.1493758536
440	0.1493585696
441	0.1493530262
442	0.1493529471
443	0.1493529306
444	0.1493387537
445	0.1493387108
446	0.149338551
447	0.1493301661
448	0.1493258744
449	0.1493161208
450	0.1492975487
451	0.1492972012
452	0.1492786293
453	0.1492614305
454	0.1492497605
455	0.1492355354
456	0.1492351277
457	0.1492251775
458	0.1492197109
459	0.1492148023
460	0.1492077798
461	0.1492017643
462	0.1491923623
463	0.1491912182
464	0.1491909024
465	0.1491886657
466	0.1491803979
467	0.149168034
468	0.1491520437
469	0.1491376502
470	0.1491342254
471	0.1491198138
472	0.1491186887
473	0.1491127169
474	0.1491008818
475	0.1491007316
476	0.1490985
477	0.1490934207
478	0.1490931559
479	0.149092217
480	0.1490862453
481	0.1490852062
482	0.1490753627
483	0.1490608012
484	0.1490512537
485	0.1490441658
486	0.1490343457
487	0.1490325643
488	0.1490123248
489	0.1490113728
490	0.1490098692
491	0.1489817822
492	0.1489698145
493	0.148959051
494	0.1489526862
495	0.1489259227
496	0.1489092355
497	0.1488986527
498	0.1488985526
499	0.1488743032
500	0.1488540393
501	0.1488511722
502	0.1488203419
503	0.1488105187
504	0.1488104557
505	0.1487974693
506	0.148786349
507	0.1487861092
508	0.148782752
509	0.1487722204
510	0.1487522736
511	0.1487519279
512	0.1487453579
513	0.1487441301
514	0.1487024763
515	0.1486993688
516	0.1486828852
517	0.1486818284
518	0.1486751932
519	0.1486745277
520	0.1486662645
521	0.1486570583
522	0.1486478431
523	0.1486478109
524	0.1486416141
525	0.1486415852
526	0.1486412567
527	0.1486287848
528	0.148623058
529	0.1486048338
530	0.1485961606
531	0.1485961307
532	0.1485803204
533	0.1485689427
534	0.1485685575
535	0.1485685297
536	0.1485639824
537	0.1485578291
538	0.1485519827
539	0.1485433742
540	0.1485381946
541	0.148525238
542	0.1485137632
543	0.1485137383
544	0.1485137214
545	0.1485060291
546	0.1484999601
547	0.1484572587
548	0.1484528813
549	0.1484525718
550	0.1484444938
551	0.148439372
552	0.148428784
553	0.1484287618
554	0.1484284729
555	0.1484094518
556	0.1484085813
557	0.1483981115
